DT_ID,"DT_Tag"
283,"hunt"
669,"1558-1603, Elizabethan"
285,"cornucopia"
287,"dice"
289,"bread"
290,"playing card"
291,"pipe"
292,"London"
293,"cart"
294,"dinghy"
295,"ship"
296,"corpse"
297,"cuckold"
298,"Mary / Madonna"
300,"devil / demon"
301,"baby"
302,"boy"
304,"queen"
305,"Christ"
306,"angel"
307,"clergy"
309,"couple"
311,"Cupid"
312,"figure, gender unspecified"
313,"girl"
315,"Father Time"
316,"pope"
317,"army"
318,"king"
319,"child, gender unspecified"
320,"man"
321,"musician"
322,"mythological figure, other"
323,"skeleton / mort"
324,"military figure"
325,"woman"
326,"cloud"
327,"garden"
328,"ocean"
329,"field"
330,"fire"
331,"seed"
332,"moon"
738,"fishing pole"
334,"flower"
335,"star"
336,"forest"
337,"fruit"
338,"garland / wreath "
624,"drinking"
340,"sun"
341,"haystack"
342,"bush / hedge"
343,"hill"
344,"water, inland"
345,"smoke"
626,"game playing"
347,"mountain"
348,"foliage (separate from plant)"
623,"crops"
350,"tree"
654,"bridge"
667,"saint / apostle"
584,"wagon"
585,"Numeral 0"
586,"Numeral 1"
587,"Numeral 2"
588,"Numeral 3"
589,"Numeral 4"
590,"Numeral 5"
591,"Numeral 6"
592,"Numeral 7"
593,"Numeral 8"
594,"Numeral 9"
595,"animal, unspecified"
596,"swan"
597,"dove"
598,"monster"
599,"snail"
600,"nematode"
604,"battle"
605,"erotic encounter"
606,"religious observance / event"
607,"procession"
610,"other decorative element"
611,"circle"
612,"grotesque"
613,"star"
620,"stocks / pillory"
733,"frog / toad"
621,"chariot"
628,"city / town, other"
629,"harbor, other"
631,"cornucopia"
632,"astrological"
633,"factotum / banderole"
634,"number of figures - 1"
635,"number of figures - 2"
636,"number of figures - 3"
637,"number of figures - 4"
638,"number of figures - 5 or more"
639,"number of figures - indeterminate"
643,"1 period, classical"
644,"1200-1558, medieval / early Tudor"
730,"storm"
649,"period unknown"
650,"nude"
728,"nest"
729,"severed body part"
665,"weapon, indeterminate"
666,"handkerchief"
668,"wheel"
670,"1603-1625, Jacobean"
671,"1625-1660, Caroline / Interregnum"
673,"1660-1680, Restoration"
674,"1680-onward, late Stuart / Georgian"
727,"maypole"
698,"cradle"
676,"armor"
677,"donkey / mule"
678,"food, indeterminate"
679,"well"
680,"grave / tomb"
681,"statue"
685,"rainbow"
686,"biblical"
687,"furniture, indeterminate"
688,"hellmouth"
689,"religious object, other"
690,"rope"
691,"basin / pail"
692,"crane"
693,"bundle / packet"
694,"fabric"
707,"scrollwork"
695,"arbor / bower"
696,"viscera"
697,"trade tools"
699,"toy"
701,"printing press / printer's tools"
702,"hole in ground"
703,"rock"
704,"nut"
705,"iron"
706,"murder / suicide"
708,"navigational tool"
710,"chain"
712,"stick"
715,"farmer"
714,"object, indeterminate"
716,"shepherd"
717,"tradesperson"
718,"scholar / lawyer / judge / official"
734,"cave"
719,"altar / lectern / podium / pulpit"
721,"stage"
722,"conjoined twins"
723,"monster, imagined"
739,"chimney"
740,"Tudor rose"
741,"reading / writing"
742,"biblical figure, other"
743,"mythological"
744,"portrait frame"
745,"jar"
746,"mug / stein"
747,"clerical dress"
748,"wound"
749,"crepuscular ray"
750,"shelf"
751,"water / liquid"
752,"razor"
753,"vomit"
754,"shoe (not worn)"
755,"skins / pelts"
756,"animal attack"
757,"pomander"
